"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"PLM00012375","OKECIE, PL","2018-11-01","0.00",,"53",,
"PLM00012375","OKECIE, PL","2018-11-02","0.00",,"58",,
"PLM00012375","OKECIE, PL","2018-11-03","0.00",,"49","58",
"PLM00012375","OKECIE, PL","2018-11-04","0.11",,"51",,"48"
"PLM00012375","OKECIE, PL","2018-11-05","0.00",,"53","56",
"PLM00012375","OKECIE, PL","2018-11-06","0.00",,"51",,
"PLM00012375","OKECIE, PL","2018-11-07","0.00",,"51",,
"PLM00012375","OKECIE, PL","2018-11-08","0.00",,"47",,
"PLM00012375","OKECIE, PL","2018-11-09","0.00",,"45","49","40"
"PLM00012375","OKECIE, PL","2018-11-10","0.00",,"45","47",
"PLM00012375","OKECIE, PL","2018-11-11","0.00",,"42","46",
"PLM00012375","OKECIE, PL","2018-11-12","0.00",,"46",,
"PLM00012375","OKECIE, PL","2018-11-13","0.00",,"49",,
"PLM00012375","OKECIE, PL","2018-11-14","0.16",,"48","54",
"PLM00012375","OKECIE, PL","2018-11-15","0.02",,"46",,
"PLM00012375","OKECIE, PL","2018-11-16","0.00",,"40","47",
"PLM00012375","OKECIE, PL","2018-11-23","0.00",,"27","30","26"
"PLM00012375","OKECIE, PL","2018-11-24","0.00",,"33",,"26"
"PLM00012375","OKECIE, PL","2018-11-25","0.01",,"37",,"35"
"PLM00012375","OKECIE, PL","2018-11-26","0.00",,"34","38",
"PLM00012375","OKECIE, PL","2018-11-27","0.00",,"29",,"23"
"PLM00012375","OKECIE, PL","2018-11-28","0.00",,"29",,"25"
"PLM00012375","OKECIE, PL","2018-11-29","0.00",,"26",,
"PLM00012375","OKECIE, PL","2018-11-30","0.00",,"22",,
"PLM00012375","OKECIE, PL","2018-12-01","0.00",,"18",,
"PLM00012375","OKECIE, PL","2018-12-02","0.00",,"32",,"16"
"PLM00012375","OKECIE, PL","2018-12-03","0.11",,"40",,"31"
"PLM00012375","OKECIE, PL","2018-12-04","0.12",,"42",,
"PLM00012375","OKECIE, PL","2018-12-05","0.02",,"33","41",
"PLM00012375","OKECIE, PL","2018-12-06","0.00",,"29","32",
"PLM00012375","OKECIE, PL","2018-12-07","0.04",,"40",,"31"
"PLM00012375","OKECIE, PL","2018-12-08","0.38",,"44","47","39"
"PLM00012375","OKECIE, PL","2018-12-09","0.01",,"41",,
"PLM00012375","OKECIE, PL","2018-12-10","0.22",,"39",,"37"
"PLM00012375","OKECIE, PL","2018-12-11","0.09",,"36",,"33"
"PLM00012375","OKECIE, PL","2018-12-12","0.00",,"34",,"30"
"PLM00012375","OKECIE, PL","2018-12-13","0.00",,"33",,
"PLM00012375","OKECIE, PL","2018-12-14","0.00",,"33",,
"PLM00012375","OKECIE, PL","2018-12-15","0.01",,"33",,
"PLM00012375","OKECIE, PL","2018-12-16","0.04","1.2","30","32",
"PLM00012375","OKECIE, PL","2018-12-17","0.02","1.6","27",,
"PLM00012375","OKECIE, PL","2018-12-18","0.00","1.2","29","32","20"
"PLM00012375","OKECIE, PL","2018-12-19","0.00","0.8","27","31",
